time	V(ina)	V(out_y)	V(sel)	V(selb)
3.299274309778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.303180559778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.307086809778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.310993059778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.314899309778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.318805559778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.322711809778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.326618059778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.330524309778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.334430559778005e-08	5.000000e+00	5.210968e+00	0.000000e+00	5.000000e+00
3.338336809778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.342243059778005e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.346149309778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.350055559778005e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.353961809778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.357868059778005e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.361774309778005e-08	5.000000e+00	5.210966e+00	0.000000e+00	5.000000e+00
3.365680559778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.369586809778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.373493059778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.377399309778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.381305559778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.385211809778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.389118059778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.393024309778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
3.396930559778004e-08	5.000000e+00	5.210967e+00	0.000000e+00	5.000000e+00
3.400836809778004e-08	5.000000e+00	5.210965e+00	0.000000e+00	5.000000e+00
