time	V(vdd)*Ix(xinv_20_1@0:vdd)
2.411484476462653e-08	-8.008382e-06
2.415390726462653e-08	7.920701e-06
2.419296976462653e-08	-7.834226e-06
2.423203226462653e-08	7.749143e-06
2.427109476462653e-08	-7.665222e-06
2.431015726462653e-08	7.582648e-06
2.434921976462653e-08	-7.501192e-06
2.438828226462653e-08	7.421041e-06
2.442734476462653e-08	-7.341966e-06
2.446640726462653e-08	7.264155e-06
2.450546976462653e-08	-7.187380e-06
2.454453226462653e-08	7.111829e-06
2.458359476462653e-08	-7.037274e-06
2.462265726462653e-08	6.963907e-06
2.466171976462653e-08	-6.891497e-06
2.470078226462653e-08	6.820238e-06
2.473984476462653e-08	-6.749900e-06
2.477890726462653e-08	6.680677e-06
2.481796976462653e-08	-6.612340e-06
2.485703226462653e-08	6.545084e-06
2.489609476462652e-08	-6.478681e-06
2.493515726462652e-08	6.413324e-06
2.497421976462652e-08	-6.348789e-06
2.501328226462652e-08	6.285267e-06
2.505234476462652e-08	-6.222536e-06
2.509140726462652e-08	6.160788e-06
2.513046976462652e-08	-6.099798e-06
2.516953226462652e-08	6.039763e-06
2.520859476462652e-08	-5.980457e-06
2.524765726462652e-08	5.922077e-06
2.528671976462652e-08	-5.864398e-06
2.532578226462652e-08	5.807616e-06
2.536484476462652e-08	-5.751509e-06
2.540390726462652e-08	5.696272e-06
2.544296976462652e-08	-5.641683e-06
2.548203226462652e-08	5.587938e-06
2.552109476462652e-08	-5.534816e-06
2.556015726462652e-08	5.482514e-06
2.559921976462652e-08	-5.430810e-06
2.563828226462652e-08	5.379901e-06
2.567734476462652e-08	-5.329567e-06
2.571640726462652e-08	5.280005e-06
2.575546976462652e-08	-5.230995e-06
2.579453226462652e-08	5.182735e-06
2.583359476462652e-08	-5.135004e-06
2.587265726462652e-08	5.088002e-06
2.591171976462652e-08	-5.041508e-06
2.595078226462651e-08	4.995722e-06
2.598984476462651e-08	-4.950423e-06
2.602890726462651e-08	4.905812e-06
2.606796976462651e-08	-4.861669e-06
2.610703226462651e-08	4.818194e-06
2.614609476462651e-08	-4.775168e-06
2.618515726462651e-08	4.732790e-06
2.622421976462651e-08	-4.690844e-06
2.626328226462651e-08	4.649528e-06
2.630234476462651e-08	-4.608626e-06
2.634140726462651e-08	4.568336e-06
2.635000000000000e-08	-4.391183e-06
2.635085927353735e-08	4.648715e-04
2.635257782061205e-08	6.090698e-04
2.635601491476145e-08	4.698198e-04
2.636288910306024e-08	5.634603e-04
2.637436052002064e-08	1.221426e-03
2.638579440737670e-08	1.912068e-03
2.640082053989923e-08	3.163214e-03
2.643087280494428e-08	5.398974e-03
2.645000000000001e-08	6.878048e-03
2.645191271950558e-08	6.281121e-03
2.645573815851672e-08	6.109113e-03
2.646338903653901e-08	6.148063e-03
2.647739848727467e-08	5.894008e-03
2.650541738874598e-08	5.622542e-03
2.654447988874598e-08	4.732607e-03
2.658354238874598e-08	3.711451e-03
2.662260488874598e-08	2.803014e-03
2.665058783229696e-08	2.411367e-03
2.667733554656843e-08	1.809660e-03
2.670579367372962e-08	1.344619e-03
2.673934120423168e-08	7.964615e-04
2.677502498569568e-08	5.363500e-04
2.681408748569568e-08	2.523334e-04
2.685314998569568e-08	1.943111e-04
2.689221248569568e-08	5.962492e-05
2.693127498569568e-08	8.252237e-05
2.697033748569568e-08	-1.231025e-06
2.700939998569568e-08	4.588899e-05
2.704846248569568e-08	-1.963816e-05
2.708752498569568e-08	3.336364e-05
2.712658748569568e-08	-2.460594e-05
2.716564998569568e-08	2.857805e-05
2.720471248569568e-08	-2.533101e-05
2.724377498569567e-08	2.626280e-05
2.728283748569567e-08	-2.481888e-05
2.732189998569567e-08	2.478081e-05
2.736096248569567e-08	-2.394084e-05
2.740002498569567e-08	2.360611e-05
2.743908748569567e-08	-2.298007e-05
2.747814998569567e-08	2.257451e-05
2.751721248569567e-08	-2.203863e-05
2.755627498569567e-08	2.163189e-05
2.759533748569567e-08	-2.114598e-05
2.763439998569567e-08	2.075870e-05
2.767346248569567e-08	-2.030888e-05
2.771252498569567e-08	1.994638e-05
2.775158748569567e-08	-1.952715e-05
2.779064998569567e-08	1.918996e-05
2.782971248569567e-08	-1.879849e-05
2.786877498569567e-08	1.848574e-05
2.790783748569567e-08	-1.812009e-05
2.794689998569567e-08	1.783050e-05
2.798596248569567e-08	-1.748909e-05
2.802502498569567e-08	1.722131e-05
2.806408748569567e-08	-1.690270e-05
2.810314998569567e-08	1.665543e-05
2.814221248569567e-08	-1.635827e-05
2.818127498569567e-08	1.613025e-05
2.822033748569567e-08	-1.585330e-05
2.825939998569567e-08	1.564333e-05
2.829846248569566e-08	-1.538541e-05
2.833752498569566e-08	1.519236e-05
2.837658748569566e-08	-1.495234e-05
2.841564998569566e-08	1.477516e-05
2.845471248569566e-08	-1.455197e-05
2.849377498569566e-08	1.438964e-05
2.853283748569566e-08	-1.418229e-05
2.857189998569566e-08	1.403386e-05
2.861096248569566e-08	-1.384139e-05
2.865002498569566e-08	1.370596e-05
2.868908748569566e-08	-1.352749e-05
2.872814998569566e-08	1.340421e-05
2.876721248569566e-08	-1.323887e-05
2.880627498569566e-08	1.312695e-05
2.884533748569566e-08	-1.297394e-05
2.888439998569566e-08	1.287262e-05
2.892346248569566e-08	-1.273119e-05
2.896252498569566e-08	1.263974e-05
2.900158748569566e-08	-1.250917e-05
2.904064998569566e-08	1.242694e-05
2.907971248569566e-08	-1.230655e-05
2.911877498569566e-08	1.223289e-05
2.915783748569566e-08	-1.212204e-05
2.919689998569566e-08	1.205636e-05
2.923596248569566e-08	-1.195444e-05
2.927502498569566e-08	1.189336e-05
2.931408748569566e-08	-1.180805e-05
2.935314998569565e-08	1.174356e-05
2.939221248569565e-08	-1.167281e-05
2.943127498569565e-08	1.161098e-05
2.947033748569565e-08	-1.154927e-05
2.950939998569565e-08	1.149503e-05
2.954846248569565e-08	-1.143297e-05
2.958752498569565e-08	1.139371e-05
2.962658748569565e-08	-1.133149e-05
2.966564998569565e-08	1.130113e-05
2.970471248569565e-08	-1.124280e-05
2.974377498569565e-08	1.121831e-05
2.978283748569565e-08	-1.116488e-05
2.982189998569565e-08	1.114505e-05
2.986096248569565e-08	-1.109657e-05
2.990002498569565e-08	1.108080e-05
2.993908748569565e-08	-1.103705e-05
2.997814998569565e-08	1.102493e-05
3.001721248569565e-08	-1.098563e-05
3.005627498569565e-08	1.097681e-05
3.009533748569565e-08	-1.094165e-05
3.013439998569565e-08	1.093585e-05
