time	V(vout)	Ix(xinv_20_1@0:y_c17530)
1.838230440510446e-08	5.000091e+00	1.964498e-06
1.842136690510446e-08	4.999901e+00	-2.110771e-06
1.846042940510446e-08	5.000091e+00	2.245537e-06
1.849949190510446e-08	4.999907e+00	-2.382153e-06
1.853855440510446e-08	5.000090e+00	2.513207e-06
1.857761690510446e-08	4.999910e+00	-2.642872e-06
1.861667940510446e-08	5.000088e+00	2.768967e-06
1.865574190510446e-08	4.999914e+00	-2.892790e-06
1.869480440510446e-08	5.000085e+00	3.013718e-06
1.873386690510446e-08	4.999916e+00	-3.132189e-06
1.877292940510446e-08	5.000081e+00	3.246992e-06
1.881199190510446e-08	4.999917e+00	-3.363359e-06
1.885105440510446e-08	5.000076e+00	3.470318e-06
1.889011690510446e-08	4.999918e+00	-3.583659e-06
1.892917940510446e-08	5.000073e+00	3.685060e-06
1.896824190510446e-08	4.999920e+00	-3.794197e-06
1.900730440510446e-08	5.000071e+00	3.890952e-06
1.904636690510446e-08	4.999923e+00	-3.995669e-06
1.908542940510446e-08	5.000068e+00	4.088175e-06
1.912449190510445e-08	4.999925e+00	-4.188535e-06
1.916355440510445e-08	5.000066e+00	4.277030e-06
1.920261690510445e-08	4.999928e+00	-4.373175e-06
1.924167940510445e-08	5.000064e+00	4.457845e-06
1.928074190510445e-08	4.999930e+00	-4.549934e-06
1.931980440510445e-08	5.000062e+00	4.630941e-06
1.935886690510445e-08	4.999932e+00	-4.719132e-06
1.939792940510445e-08	5.000060e+00	4.796630e-06
1.943699190510445e-08	4.999935e+00	-4.881078e-06
1.947605440510445e-08	5.000058e+00	4.955210e-06
1.951511690510445e-08	4.999937e+00	-5.036060e-06
1.955417940510445e-08	5.000055e+00	5.106964e-06
1.959324190510445e-08	4.999939e+00	-5.184359e-06
1.963230440510445e-08	5.000053e+00	5.252165e-06
1.967136690510445e-08	4.999941e+00	-5.326239e-06
1.971042940510445e-08	5.000051e+00	5.391072e-06
1.974949190510445e-08	4.999943e+00	-5.461954e-06
1.978855440510445e-08	5.000050e+00	5.523932e-06
1.982761690510445e-08	4.999945e+00	-5.591745e-06
1.986667940510445e-08	5.000048e+00	5.650983e-06
1.990574190510445e-08	4.999948e+00	-5.715844e-06
1.994480440510445e-08	5.000046e+00	5.772450e-06
1.998386690510445e-08	4.999949e+00	-5.834472e-06
2.002292940510445e-08	5.000044e+00	5.888549e-06
2.006199190510445e-08	4.999951e+00	-5.947840e-06
2.010105440510445e-08	5.000043e+00	5.999488e-06
2.014011690510445e-08	4.999953e+00	-6.056151e-06
2.017917940510444e-08	5.000041e+00	6.105463e-06
2.021824190510444e-08	4.999955e+00	-6.159597e-06
2.025730440510444e-08	5.000040e+00	6.206665e-06
2.029636690510444e-08	4.999957e+00	-6.258364e-06
