time	V(clk)	V(clkb)	V(ind)	V(outq)
1.806332169470196e-08	0.000000e+00	5.000000e+00	3.166085e+00	5.000000e+00
1.808648307452042e-08	0.000000e+00	5.000000e+00	4.324154e+00	5.000000e+00
1.810000000000000e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.810135169254796e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.810405507764388e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.810946184783571e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.812027538821937e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.814190246898670e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.816475640285609e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.819509781033298e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.822476056319846e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.825316894439900e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.828590226390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.832496476390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.836402726390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.840308976390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.844215226390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.848121476390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.852027726390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.855933976390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.859840226390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.863746476390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.867652726390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.871558976390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.875465226390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.879371476390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.883277726390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.887183976390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.891090226390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.894996476390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.898902726390616e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.902808976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.906715226390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.910621476390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.914527726390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.918433976390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.922340226390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.926246476390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.930152726390615e-08	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
